feature,rf_importance,xgb_importance,lgbm_importance,rf_norm,xgb_norm,lgbm_norm,avg_importance
indice_severidade_atrasos,0.2794209955827341,0.2133848,827,1.0,0.9383133265674586,0.9620853080568721,0.9667995448747769
utilizacao_credito_bin,0.1559869515845521,0.18765074,278,0.5570835679941624,0.8239100236846882,0.31161137440758296,0.5642016553621445
alta_utilizacao_flag,0.09580328740802577,0.22726071,124,0.3411274756660425,1.0,0.12914691943127965,0.4900914650324408
utilizacao_credito_quadrado,0.12524365931952042,0.09898566,389,0.4467678975593425,0.42974075514717003,0.4431279620853081,0.4398788715972735
idade,0.017536374758302466,0.01268652,859,0.06028354823676229,0.046089529433620297,1.0000000000000002,0.36879102589012763
linhas_credito_abertas,0.016969977130237193,0.015114368,717,0.0582511525670317,0.05688276459914737,0.8317535545023697,0.31562915722284957
idade_quadrado,0.012017444178298803,0.0072286204,658,0.04048005673794099,0.021825905098811205,0.7618483412322276,0.27471810102299327
score_interno,0.023291698929468672,0.0041419216,554,0.08093528712791809,0.008103685147650471,0.6386255924170616,0.2425548548975434
utilizacao_credito,0.0721158695993676,0.005602689,328,0.25613028818511596,0.014597668782150259,0.3708530805687204,0.21386034584532887
emprestimos_imobiliarioss,0.02645109496967357,0.032234203,360,0.0922720980764562,0.13299066027615566,0.40876777251184837,0.21134351028815343
utilizacao_media_linha,0.04262006346380608,0.0039923973,380,0.15029095254047628,0.00743896027615918,0.43246445497630337,0.19673145593097963
interacao_idade_renda,0.009230174457600899,0.0024742214,430,0.030478540788681438,0.0006897611765660644,0.49170616113744076,0.17429148770089609
pressao_dependentes_renda,0.018500906386301898,0.009217638,368,0.06374456185498728,0.030668275104012713,0.4182464454976304,0.17088642748554347
renda_per_capita,0.01615932585709413,0.0029731807,393,0.055342305397552236,0.0029079335051387482,0.4478672985781991,0.16870584582696338
interacao_divida_linhas,0.009212817276126859,0.0026096366,386,0.030416258288334344,0.001291762796241526,0.4395734597156399,0.15709382693340526
divida_ratio,0.01001080048673822,0.0029515487,378,0.03327964884896244,0.0028117660639202773,0.43009478672985785,0.1553954005475802
comprometimento_renda_ajustado,0.008628025444929887,0.002540089,379,0.028317858989809073,0.0009825818177662086,0.43127962085308064,0.15352668722021864
renda_disponivel,0.007647008238609585,0.0023190654,344,0.02479769043107561,0.0,0.3898104265402844,0.13820270565712
renda_mensal,0.008116648967107242,0.0026788071,312,0.026482894845133928,0.0015992669591793386,0.35189573459715645,0.1266592988004899
flag_possui_imovel,0.008373703481311588,0.04502007,105,0.02740527950154249,0.18983147757501115,0.1066350710900474,0.10795727605553368
flag_thin_file,0.005684915626745634,0.033736497,80,0.01775714447825407,0.13966925509090666,0.07701421800947868,0.07814687252621315
estabilidade_financeira,0.0025557985473263025,0.013589662,82,0.006528983046831225,0.05010453381918642,0.07938388625592417,0.04533913437398061
log_renda_mensal,0.008270021408727625,0.0027346667,103,0.0270332387568308,0.001847596094784387,0.1042654028436019,0.044382079231739036
comprometimento_outlier_flag,0.00233987871773364,0.017605225,63,0.005754201330014922,0.06795611076514312,0.05687203791469195,0.04352745000328332
flag_cliente_estavel,0.0020024529498435125,0.01915153,30,0.004543421772448725,0.07483035890098122,0.017772511848341235,0.03238209750725706
flag_alto_risco,0.008413784447233674,0.011614185,22,0.027549101398990975,0.04132235942163866,0.00829383886255924,0.025721766561062957
baixa_renda_por_pessoa,0.0066600500794058775,0.014735953,15,0.021256204044872513,0.05520048388507709,0.0,0.025485562643316532
renda_mensal_missing,0.000736270703176849,0.0057652756,36,0.0,0.015320463224805146,0.024881516587677725,0.013400659937494291
