feature,votes
utilizacao_credito,3
indice_severidade_atrasos,3
alta_utilizacao_flag,3
renda_per_capita,3
baixa_renda_por_pessoa,3
idade,3
utilizacao_media_linha,3
renda_disponivel,3
comprometimento_renda_ajustado,3
renda_mensal,3
linhas_credito_abertas,3
divida_ratio,3
utilizacao_credito_bin,3
interacao_idade_renda,3
interacao_divida_linhas,3
pressao_dependentes_renda,3
idade_quadrado,3
log_renda_mensal,3
utilizacao_credito_quadrado,3
score_interno,3
flag_possui_imovel,2
flag_thin_file,2
renda_mensal_missing,2
estabilidade_financeira,2
flag_cliente_estavel,2
flag_alto_risco,2
comprometimento_outlier_flag,2
emprestimos_imobiliarioss,2
divida_ratio_missing,1
faixa_etaria_missing,1
renda_outlier_flag,1
utilizacao_outlier_flag,1
