feature,importance
idade,859
indice_severidade_atrasos,827
linhas_credito_abertas,717
idade_quadrado,658
score_interno,554
interacao_idade_renda,430
renda_per_capita,393
utilizacao_credito_quadrado,389
interacao_divida_linhas,386
utilizacao_media_linha,380
comprometimento_renda_ajustado,379
divida_ratio,378
pressao_dependentes_renda,368
emprestimos_imobiliarioss,360
renda_disponivel,344
utilizacao_credito,328
renda_mensal,312
utilizacao_credito_bin,278
alta_utilizacao_flag,124
flag_possui_imovel,105
log_renda_mensal,103
estabilidade_financeira,82
flag_thin_file,80
comprometimento_outlier_flag,63
renda_mensal_missing,36
flag_cliente_estavel,30
flag_alto_risco,22
baixa_renda_por_pessoa,15
