feature,coefficient
idade,-0.04197187108143748
log_renda_mensal,-0.006335471744368959
linhas_credito_abertas,-0.006304421573813548
indice_severidade_atrasos,0.006300782988043623
utilizacao_credito_bin,0.0032905472779655646
pressao_dependentes_renda,-0.0026017072206069476
interacao_idade_renda,0.0020949144522111793
utilizacao_credito_quadrado,0.0019131954898502165
utilizacao_credito,0.0016284173952469364
alta_utilizacao_flag,0.001457886231412661
flag_possui_imovel,-0.0009170769586238664
estabilidade_financeira,-0.0008907359173216041
idade_quadrado,-0.0006481879108591861
flag_alto_risco,0.0005646650714505361
comprometimento_outlier_flag,-0.0005269214607071065
emprestimos_imobiliarioss,-0.0005008317517936838
baixa_renda_por_pessoa,0.0003690161646541563
renda_per_capita,-0.00021503445995019952
divida_ratio,-0.00020907970185917384
flag_thin_file,0.0001740240414862809
renda_disponivel,-0.00013145940797940262
comprometimento_renda_ajustado,-7.214022270166029e-05
score_interno,-5.315102821222841e-05
renda_mensal,3.3819228068202645e-05
flag_cliente_estavel,-2.320377890553807e-05
renda_mensal_missing,-1.919696718066023e-05
interacao_divida_linhas,8.44841883003107e-06
utilizacao_media_linha,1.0467663060196732e-06
