feature,importance
alta_utilizacao_flag,0.22726071
indice_severidade_atrasos,0.2133848
utilizacao_credito_bin,0.18765074
utilizacao_credito_quadrado,0.09898566
flag_possui_imovel,0.04502007
flag_thin_file,0.033736497
emprestimos_imobiliarioss,0.032234203
flag_cliente_estavel,0.01915153
comprometimento_outlier_flag,0.017605225
linhas_credito_abertas,0.015114368
baixa_renda_por_pessoa,0.014735953
estabilidade_financeira,0.013589662
idade,0.01268652
flag_alto_risco,0.011614185
pressao_dependentes_renda,0.009217638
idade_quadrado,0.0072286204
renda_mensal_missing,0.0057652756
utilizacao_credito,0.005602689
score_interno,0.0041419216
utilizacao_media_linha,0.0039923973
renda_per_capita,0.0029731807
divida_ratio,0.0029515487
log_renda_mensal,0.0027346667
renda_mensal,0.0026788071
interacao_divida_linhas,0.0026096366
comprometimento_renda_ajustado,0.002540089
interacao_idade_renda,0.0024742214
renda_disponivel,0.0023190654
